Filing Date/Time,Publication Date/Time,Document Date,Source,Disclosing Organisation LEI,Disclosing Organisation Name,Description,Category,ESEF Type,Download Link,Related Organisation(s)
20/03/2026 16:00,20/03/2026 16:00,20/03/2026,PR Newswire (PRN),63540092EZYLYI8LGX48,Karelian Diamond Resources Public Limited Company,"Karelian Diamond Resources Plc - FUNDRAISING OF £290,000 & OPERATIONAL AND CORPORATE UPDATE",Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/PRN/14782dcd-681a-43b8-b53e-323d7d88635d.html,
20/03/2026 12:51,20/03/2026 12:38,20/03/2026,Regulatory News Services (RNS),,Royal Bank of Canada,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/1c113e4f-004a-4554-b02c-98425a3e9a2b.html,
20/03/2026 10:45,20/03/2026 10:45,19/03/2026,Direct Upload,2138009YFYTGEHZNNZ09;213800JCR9B7CYW7U265;2138007FV67QQ13CGJ43;213800QAUUUP6I445N30,LSEG FINANCE PLC;LSEG NETHERLANDS B.V.;LSEG US FIN CORP.;LONDON STOCK EXCHANGE GROUP PLC,Publication of Offering Circular,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141284/NI-000141284.pdf,
20/03/2026 10:16,18/03/2026 09:19,18/03/2026,FCA,213800BW27BKJCI35L17;213800C5JHJUQLAFP619,OCTOPUS AIM VCT 2 PLC;OCTOPUS AIM VCT PLC,Octopus AIM VCT 2 PLC;Octopus AIM VCT plc - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141281/NI-000141281.pdf,
20/03/2026 10:16,18/03/2026 10:30,18/03/2026,FCA,21380041YBGOQDFAC823;2138005GYEXN7XRHFA84;2138009B37VJ9VOWAO51;213800FKA5MF17RJKT63,B.A.T. INTERNATIONAL FINANCE P.L.C.;B.A.T CAPITAL CORPORATION;B.A.T. NETHERLANDS FINANCE B.V.;BRITISH AMERICAN TOBACCO P.L.C.,B.A.T. INTERNATIONAL FINANCE PLC;B.A.T Capital Corporation;B.A.T. Netherlands Finance B.V.;British American Tobacco Plc - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141280/NI-000141280.pdf,
19/03/2026 16:33,19/03/2026 16:20,19/03/2026,Regulatory News Services (RNS),VKU1UKDS9E7LYLMACP54,Inter-American Development Bank,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/6e6f19ea-8246-44eb-83f4-f163eee01b38.html,
19/03/2026 13:12,19/03/2026 13:00,19/03/2026,Regulatory News Services (RNS),2138007FV67QQ13CGJ43,LSEG US FIN CORP.,Publication of Offering Memorandum,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/0905af16-66bc-467e-a51a-976c7e75287a.html,LONDON STOCK EXCHANGE GROUP PLC (213800QAUUUP6I445N30)
19/03/2026 12:56,19/03/2026 12:55,19/03/2026,Direct Upload,2138007FV67QQ13CGJ43,LSEG US FIN CORP.,LSEG US Fin Corp. Offering Memorandum,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000141055/NI-000141055.pdf,LONDON STOCK EXCHANGE GROUP PLC (213800QAUUUP6I445N30)
19/03/2026 12:54,19/03/2026 12:42,19/03/2026,Regulatory News Services (RNS),,Royal Bank of Canada,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/34e4e666-44be-4561-9a4d-5ce297ba439b.html,
19/03/2026 09:56,17/03/2026 12:09,17/03/2026,FCA,254900UWHMJRRODS3Z64,21Shares AG,21Shares AG - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141040/NI-000141040.pdf,
19/03/2026 09:56,17/03/2026 14:53,17/03/2026,FCA,549300KQWCT26VXWW684;549300CRL28LF3CSEA14,GOLDMAN SACHS FINANCE CORP INTERNATIONAL LTD;Goldman  Sachs & Co. Wertpapier GmbH,"Goldman Sachs Finance Corp International Ltd;Goldman, Sachs & Co. Wertpapier GMBH - Supplementary Prospectus",Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141039/NI-000141039.pdf,
19/03/2026 09:56,17/03/2026 10:47,17/03/2026,FCA,PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,Santander UK PLC - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141038/NI-000141038.pdf,
19/03/2026 09:56,17/03/2026 09:11,17/03/2026,FCA,213800ZTMDN8S67S1H61,SMITH & NEPHEW PLC,SMITH & NEPHEW PLC - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141037/NI-000141037.pdf,
19/03/2026 09:56,17/03/2026 11:33,17/03/2026,FCA,213800573TEIBOSTZX92,AKADEMISKA HUS AKTIEBOLAG,Akademiska Hus AB (publ) - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141035/NI-000141035.pdf,
19/03/2026 09:56,17/03/2026 11:37,17/03/2026,FCA,549300P6OXWKM20QS303,SILVERSTONE MASTER ISSUER PLC,Silverstone Master Issuer PLC - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000141036/NI-000141036.pdf,
19/03/2026 07:12,19/03/2026 07:00,19/03/2026,Regulatory News Services (RNS),VKU1UKDS9E7LYLMACP54,Inter-American Development Bank,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/0b57abcf-3298-42af-be53-5987ad1534c5.html,
18/03/2026 13:46,18/03/2026 10:30,18/03/2026,Direct Upload,213800BW27BKJCI35L17,OCTOPUS AIM VCT 2 PLC,Octopus AIM VCT 2 plc - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140988/NI-000140988.doc,
18/03/2026 13:45,18/03/2026 13:45,18/03/2026,GlobeNewswire (GNW),213800C5JHJUQLAFP619,OCTOPUS AIM VCT PLC,Issue of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/GNW/d92ecfdb-23b4-4e74-a4d6-58e54c68e6fa.html,
18/03/2026 13:45,18/03/2026 13:45,18/03/2026,GlobeNewswire (GNW),213800BW27BKJCI35L17,OCTOPUS AIM VCT 2 PLC,Issue of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/GNW/14860e64-3d07-4fa1-85ea-3a8525392e0a.html,
18/03/2026 13:43,18/03/2026 10:30,18/03/2026,Direct Upload,213800C5JHJUQLAFP619,OCTOPUS AIM VCT PLC,Octopus AIM VCT plc - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140987/NI-000140987.doc,
18/03/2026 12:57,18/03/2026 12:45,18/03/2026,Regulatory News Services (RNS),,Royal Bank of Canada,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/eb9318ec-f92c-4f53-b027-64cb89c6ee3c.html,
18/03/2026 11:45,18/03/2026 11:35,18/03/2026,Regulatory News Services (RNS),213800FKA5MF17RJKT63,BRITISH AMERICAN TOBACCO P.L.C.,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/3e074c2d-efaa-446c-82d6-fbdac0e28076.html,
