issuer_pattern,country_name,country_code
ISRAEL,Israel,ISR
MEXICO,Mexico,MEX
MEXICAN,Mexico,MEX
TURKEY,Turkey,TUR
COLOMBIA,Colombia,COL
BRAZIL,Brazil,BRA
CHILE,Chile,CHL
PHILIPPINES,Philippines,PHL
URUGUAY,Uruguay,URY
PANAMA,Panama,PAN
INDONESIA,Indonesia,IDN
PERU,Peru,PER
SOUTH AFRICA,South Africa,ZAF
CANADA,Canada,CAN
KOREA,Korea Republic of,KOR
JAMAICA,Jamaica,JAM
SWEDEN,Sweden,SWE
NIGERIA,Nigeria,NGA
ABU DHABI,United Arab Emirates,ARE
EGYPT,Egypt,EGY
FINLAND,Finland,FIN
CYPRUS,Cyprus,CYP
HUNGARY,Hungary,HUN
KAZAKHSTAN,Kazakhstan,KAZ
GHANA,Ghana,GHA
ICELAND,Iceland,ISL
SERBIA,Serbia,SRB
SAUDI ARABIA,Saudi Arabia,SAU
ARGENTINA,Argentina,ARG
DOMINICAN REPUBLIC,Dominican Republic,DOM
ECUADOR,Ecuador,ECU
KENYA,Kenya,KEN
ALBANIA,Albania,ALB
SIERRA LEONE,Sierra Leone,SLE
MOLDOVA,Moldova,MDA
CAMEROON,Cameroon,CMR
RWANDA,Rwanda,RWA
SENEGAL,Senegal,SEN
ITALY,Italy,ITA
NETHERLANDS,Netherlands,NLD
JAPAN,Japan,JPN
LEBANON,Lebanon,LBN
COSTA RICA,Costa Rica,CRI
BARBADOS,Barbados,BRB
BAHAMAS,Bahamas,BHS
BERMUDA,Bermuda,BMU
TRINIDAD,Trinidad and Tobago,TTO
SRI LANKA,Sri Lanka,LKA
PAKISTAN,Pakistan,PAK
EL SALVADOR,El Salvador,SLV
VENEZUELA,Venezuela,VEN
JORDAN,Jordan,JOR
MOROCCO,Morocco,MAR
ANGOLA,Angola,AGO
UZBEKISTAN,Uzbekistan,UZB
QATAR,Qatar,QAT
OMAN,Oman,OMN
MONTENEGRO,Montenegro,MNE
HONG KONG,Hong Kong SAR China,HKG
CHINA,China,CHN
BAHRAIN,Bahrain,BHR
GEORGIA,Georgia,GEO
