raw_issuer_name,sources,docs_in_snapshot,canonical_issuer_id,needs_review,notes,proposed_by,proposed_date,status
ADVANCE AGRO PUBLIC COMPANY LIMITED,luxse,1,advance-agro-public-company-limited,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
Angola,pdip,12,ago,false,,fable-architect-session,2026-07-19,approved
Angola (The Republic of),nsm,11,ago,false,,fable-architect-session,2026-07-19,approved
Republic of Angola,nsm,5,ago,false,,fable-architect-session,2026-07-19,approved
Republic of Angola (The),nsm,1,ago,false,,fable-architect-session,2026-07-19,approved
ALBANIA (THE REPUBLIC OF),luxse,3,alb,false,,fable-architect-session,2026-07-19,approved
Albania (The Republic of),nsm,1,alb,false,,fable-architect-session,2026-07-19,approved
Albania (The Republic of) ,nsm,2,alb,false,,fable-architect-session,2026-07-19,approved
ALDBURG PUBLIC S.A.,luxse,58,aldburg-public,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
Federal Government of UAE,nsm,1,are,false,,fable-architect-session,2026-07-19,approved
Emirate Of Abu Dhabi,nsm,2,are-abu-dhabi,false,,fable-architect-session,2026-07-19,approved
Emirate of Abu Dhabi,nsm,36,are-abu-dhabi,false,,fable-architect-session,2026-07-19,approved
ARGENTINA (THE REPUBLIC OF),luxse,104,arg,false,,fable-architect-session,2026-07-19,approved
Argentina,pdip,14,arg,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF ARGENTINA,edgar,37,arg,false,,fable-architect-session,2026-07-19,approved
ARKEA PUBLIC SECTOR SCF,luxse,60,arkea-public-sector-scf,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
ARKÉA PUBLIC SECTOR SCF,luxse,120,arkea-public-sector-scf,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
Armenia (Republic of),nsm,1,arm,false,,fable-architect-session,2026-07-19,approved
AUSTRIA (REPUBLIC OF),luxse,78,aut,false,,fable-architect-session,2026-07-19,approved
Austria,pdip,2,aut,false,,fable-architect-session,2026-07-19,approved
