canonical_issuer_id,canonical_display_name,issuer_type,country_code,docs_in_snapshot,lei,lei_source,needs_review,notes,proposed_by,proposed_date,status
advance-agro-public-company-limited,Advance Agro Public Company Limited,corporate,THA,1,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
ago,Republic of Angola,sovereign_state,AGO,29,549300QHR2R3J8JSGK83,GLEIF RESIDENT_GOVERNMENT_ENTITY AGO 2026-07-19 (THE REPUBLIC OF ANGOLA; ISSUED),false,,fable-architect-session,2026-07-19,proposed
alb,Republic of Albania,sovereign_state,ALB,6,254900EDM43U3SGRND29,NSM research (docs/nsm_api_reference.md),false,,fable-architect-session,2026-07-19,proposed
aldburg-public,Aldburg Public S.a.,corporate,LUX,58,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
are,United Arab Emirates,sovereign_state,ARE,1,,GLEIF candidates (no exact alias match): 98450060C643D82DF808=Federal Government of the United Arab Emirates,true,,fable-architect-session,2026-07-19,proposed
are-abu-dhabi,Emirate of Abu Dhabi,sub_sovereign,ARE,38,213800FER4348CINTA77,NSM research (docs/nsm_api_reference.md),false,,fable-architect-session,2026-07-19,proposed
arg,Republic of Argentina,sovereign_state,ARG,155,549300KPBYGYF7HCHO27,GLEIF RESIDENT_GOVERNMENT_ENTITY ARG 2026-07-19 (República Argentina; ISSUED),false,,fable-architect-session,2026-07-19,proposed
arkea-public-sector-scf,Arkea Public Sector Scf,corporate,FRA,180,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
arm,Republic of Armenia,sovereign_state,ARM,1,,GLEIF candidates (no exact alias match): 5299000H77JSW90G7935=Central Bank of the Republic of Armenia,true,,fable-architect-session,2026-07-19,proposed
aut,Republic of Austria,sovereign_state,AUT,82,,not_found_gleif_government_category,false,,fable-architect-session,2026-07-19,proposed
azor-mortgages-public-limited-company,Azor Mortgages Public Limited Company,corporate,IRL,6,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
