canonical_issuer_id,member_display_name,member_entity_id,proposed_by,proposed_date,status
multi-bank-of-cyprus-holdings-public-limited-company-bank-of-cyprus-public-c,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,bank-of-cyprus-holdings-public-limited-company,fable-architect-session,2026-07-19,proposed
multi-bank-of-cyprus-holdings-public-limited-company-bank-of-cyprus-public-c,BANK OF CYPRUS PUBLIC COMPANY LIMITED,bank-of-cyprus-public-company-limited,fable-architect-session,2026-07-19,proposed
multi-belgacom-finance-proximus-de-droit-public,BELGACOM FINANCE S.A.,,fable-architect-session,2026-07-19,proposed
multi-belgacom-finance-proximus-de-droit-public,PROXIMUS S.A. DE DROIT PUBLIC,proximus-de-droit-public,fable-architect-session,2026-07-19,proposed
multi-fresenius-finance-ireland-ii-public-limited-company-fresenius-finance-,FRESENIUS FINANCE IRELAND II PUBLIC LIMITED COMPANY,,fable-architect-session,2026-07-19,proposed
multi-fresenius-finance-ireland-ii-public-limited-company-fresenius-finance-,FRESENIUS FINANCE IRELAND PUBLIC LIMITED COMPANY,fresenius-finance-ireland-public-limited-company,fable-architect-session,2026-07-19,proposed
multi-fresenius-finance-ireland-ii-public-limited-company-fresenius-finance-,FRESENIUS SE & CO KGAA,,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-hellenic-railways,GREECE (THE HELLENIC REPUBLIC),grc,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-hellenic-railways,HELLENIC RAILWAYS,,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-hellenic-railways-national-bank-of-greece,GREECE (THE HELLENIC REPUBLIC),grc,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-hellenic-railways-national-bank-of-greece,HELLENIC RAILWAYS,,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-hellenic-railways-national-bank-of-greece,NATIONAL BANK OF GREECE S.A,,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-national-bank-of-greece-nbg-finance,GREECE (THE HELLENIC REPUBLIC),grc,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-national-bank-of-greece-nbg-finance,NATIONAL BANK OF GREECE S.A.,,fable-architect-session,2026-07-19,proposed
multi-greece-the-hellenic-republic-national-bank-of-greece-nbg-finance,NBG FINANCE PLC,,fable-architect-session,2026-07-19,proposed
multi-ing-bank-n-v-unicredit-bank-ireland-public-limited-company-unicredit-i,ING BANK N.V.,,fable-architect-session,2026-07-19,proposed
multi-ing-bank-n-v-unicredit-bank-ireland-public-limited-company-unicredit-i,UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY,unicredit-bank-ireland-public-limited-company,fable-architect-session,2026-07-19,proposed
multi-ing-bank-n-v-unicredit-bank-ireland-public-limited-company-unicredit-i,UNICREDIT INTERNATIONAL BANK (LUXEMBOURG) S.A,,fable-architect-session,2026-07-19,proposed
multi-ing-bank-n-v-unicredit-bank-ireland-public-limited-company-unicredit-i,UNICREDIT S.P.A.,,fable-architect-session,2026-07-19,proposed
multi-pdip-alb-and-aut-idn,Albania,,fable-architect-session,2026-07-19,proposed
multi-pdip-alb-and-aut-idn,Andorra,,fable-architect-session,2026-07-19,proposed
multi-pdip-alb-and-aut-idn,Austria,aut,fable-architect-session,2026-07-19,proposed
multi-pdip-alb-and-aut-idn,Indonesia,idn,fable-architect-session,2026-07-19,proposed
multi-portugal-republic-of-sg-issuer,PORTUGAL (REPUBLIC OF),prt,fable-architect-session,2026-07-19,proposed
multi-portugal-republic-of-sg-issuer,SG ISSUER,,fable-architect-session,2026-07-19,proposed
multi-portugal-republic-of-sg-issuer-societe-generale,PORTUGAL (REPUBLIC OF),prt,fable-architect-session,2026-07-19,proposed
multi-portugal-republic-of-sg-issuer-societe-generale,SG ISSUER,,fable-architect-session,2026-07-19,proposed
multi-portugal-republic-of-sg-issuer-societe-generale,SOCIETE GENERALE,,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit,UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY,unicredit-bank-ireland-public-limited-company,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit,UNICREDIT S.P.A.,,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit-international-,UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY,unicredit-bank-ireland-public-limited-company,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit-international-,UNICREDIT INTERNATIONAL BANK (LUXEMBOURG) S.A,,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit-international-,UNICREDIT S.P.A.,,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit-luxembourg-fin,UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY,unicredit-bank-ireland-public-limited-company,fable-architect-session,2026-07-19,proposed
multi-unicredit-bank-ireland-public-limited-company-unicredit-luxembourg-fin,UNICREDIT LUXEMBOURG FINANCE S.A.,,fable-architect-session,2026-07-19,proposed
